,review,rating,Positive,Negative,Neutral,Output,Character Counts,Word Counts
1847,good,5,1.0,0.0,0.0,Happy,4,1
1848,thanku flipkart,4,0.0,0.0,1.0,Unhappy,15,2
1849,nice,5,1.0,0.0,0.0,Happy,4,1
1850,good qualiti,5,0.744,0.0,0.256,Happy,12,2
1851,super,5,1.0,0.0,0.0,Happy,5,1
1852,good one,5,0.744,0.0,0.256,Happy,8,2
1853,go,5,0.0,0.0,1.0,Happy,2,1
1854,trustworthi seller,5,0.0,0.0,1.0,Happy,18,2
1855,excel,5,1.0,0.0,0.0,Happy,5,1
1856,good  qualiti,5,0.744,0.0,0.256,Happy,13,2
1857,thank flipkart,3,0.714,0.0,0.286,Unhappy,14,2
1858,good,5,1.0,0.0,0.0,Happy,4,1
1859,product aspect  great,5,0.672,0.0,0.328,Happy,21,3
1860,mavi  beat option shuttl level player,5,0.0,0.0,1.0,Happy,37,6
1861,good product,5,0.744,0.0,0.256,Happy,12,2
1862,awesomemust buy,5,0.0,0.0,1.0,Happy,15,2
1863,good product,5,0.744,0.0,0.256,Happy,12,2
1864,excel,1,1.0,0.0,0.0,Unhappy,5,1
1865,good product discount price got ,5,0.42,0.0,0.58,Happy,32,5
1866,simpli awesom,5,0.0,0.0,1.0,Happy,13,2
1867,gud,5,0.0,0.0,1.0,Happy,3,1
1868,good product,5,0.744,0.0,0.256,Happy,12,2
1869,nice product price high,5,0.483,0.0,0.517,Happy,23,4
1870,nice,5,1.0,0.0,0.0,Happy,4,1
1871,perfect,5,1.0,0.0,0.0,Happy,7,1
1872,excel,5,1.0,0.0,0.0,Happy,5,1
1873,super,5,1.0,0.0,0.0,Happy,5,1
1874,amaz coc,5,0.0,0.0,1.0,Happy,8,2
1875,nice work,5,0.737,0.0,0.263,Happy,9,2
1876,nice,5,1.0,0.0,0.0,Happy,4,1
1877,nice,5,1.0,0.0,0.0,Happy,4,1
1878,good product bought shop,5,0.492,0.0,0.508,Happy,24,4
1879,good,4,1.0,0.0,0.0,Unhappy,4,1
1880,nice product deliv ontim,3,0.483,0.0,0.517,Unhappy,24,4
1881,time  good deliveri,4,0.592,0.0,0.408,Unhappy,19,3
1882,price high,4,0.0,0.0,1.0,Unhappy,10,2
1883,nice one,4,0.737,0.0,0.263,Unhappy,8,2
1884,por qualiti,1,0.0,0.0,1.0,Unhappy,11,2
1885,good qualiti shuttl   good begin intermedi player one shuttl last  day matter extrem play net without net local style,4,0.383,0.0,0.617,Unhappy,117,19
1886,useless shuttl cannot play one singl game one shuttl recommend wast money westeless shuttl never buy price high qualiti low,1,0.098,0.273,0.629,Unhappy,123,20
1887,copi product,1,0.0,0.0,1.0,Unhappy,12,2
1888,good product,5,0.744,0.0,0.256,Happy,12,2
1889,good,5,1.0,0.0,0.0,Happy,4,1
1890,nice,4,1.0,0.0,0.0,Unhappy,4,1
1891,brand good know packet good wors qualiti given,2,0.492,0.0,0.508,Unhappy,46,8
1892,price high,3,0.0,0.0,1.0,Unhappy,10,2
1893,price high,3,0.0,0.0,1.0,Unhappy,10,2
1894,great,5,1.0,0.0,0.0,Happy,5,1
1895,good ,1,1.0,0.0,0.0,Unhappy,5,1
1896,super ,4,1.0,0.0,0.0,Unhappy,6,1
1897,realli nice,5,0.737,0.0,0.263,Happy,11,2
1898,good product,5,0.744,0.0,0.256,Happy,12,2
1899,nice,5,1.0,0.0,0.0,Happy,4,1
1900,origin qualiti,4,0.0,0.0,1.0,Unhappy,14,2
1901, awesom,5,0.0,0.0,1.0,Happy,7,1
1902,product good,5,0.744,0.0,0.256,Happy,12,2
1903,best bigin,5,0.808,0.0,0.192,Happy,10,2
1904,nice ,5,1.0,0.0,0.0,Happy,5,1
1905,longlast unlik shuttl,5,0.0,0.0,1.0,Happy,21,3
1906,nice product,5,0.737,0.0,0.263,Happy,12,2
1907,shuttl broken within one day worst product,1,0.0,0.59,0.41,Unhappy,42,7
1908,excel,5,1.0,0.0,0.0,Happy,5,1
1909,mavi  best shuttl ever play,5,0.688,0.0,0.312,Happy,27,5
1910,fabul product ever,5,0.0,0.0,1.0,Happy,18,3
1911,nice product ,5,0.737,0.0,0.263,Happy,13,2
1912,nice product,5,0.737,0.0,0.263,Happy,12,2
1913,good qualiti,1,0.744,0.0,0.256,Unhappy,12,2
1914,kudo deliveri quick well packag product great,5,0.554,0.0,0.446,Happy,45,7
1915,good,5,1.0,0.0,0.0,Happy,4,1
1916,good product,5,0.744,0.0,0.256,Happy,12,2
1917,nice product,5,0.737,0.0,0.263,Happy,12,2
1918,perfect play,4,1.0,0.0,0.0,Unhappy,12,2
1919,excel shuttl alway,5,0.6,0.0,0.4,Happy,18,3
1920,nice origin genuin product suppli flipkart,5,0.359,0.0,0.641,Happy,42,6
1921,bad qualiti,1,0.0,0.778,0.222,Unhappy,11,2
1922,good shuttl,4,0.744,0.0,0.256,Unhappy,11,2
1923,valu money,5,0.0,0.0,1.0,Happy,10,2
1924,good orgin product thank flipkart,5,0.643,0.0,0.357,Happy,33,5
1925,qualiti nice great,4,0.873,0.0,0.127,Unhappy,18,3
1926,satisfactori,4,0.0,0.0,1.0,Unhappy,12,1
1927,good,5,1.0,0.0,0.0,Happy,4,1
1928,nice shuttl team play well use negat point outdoor shuttl lose stabil,4,0.406,0.15,0.444,Unhappy,69,12
1929,good fast deliveri super,5,0.773,0.0,0.227,Happy,24,4
1930,good arn link retail product goog,5,0.367,0.0,0.633,Happy,33,6
1931,worth money,5,0.655,0.0,0.345,Happy,11,2
1932,best shuttl,5,0.808,0.0,0.192,Happy,11,2
1933,perfect shuttl indoor last long good qualiti,5,0.569,0.0,0.431,Happy,44,7
1934,nice product,5,0.737,0.0,0.263,Happy,12,2
1935,nice,5,1.0,0.0,0.0,Happy,4,1
1936,good,2,1.0,0.0,0.0,Unhappy,4,1
1937,nice shuttl,5,0.737,0.0,0.263,Happy,11,2
1938,origin good qualiti,5,0.592,0.0,0.408,Happy,19,3
1939,nice product,5,0.737,0.0,0.263,Happy,12,2
1940,superb,5,1.0,0.0,0.0,Happy,6,1
1941,delight,5,1.0,0.0,0.0,Happy,7,1
1942,fast deliveryand good qualiti shuttl,5,0.42,0.0,0.58,Happy,36,5
1943,nice product,4,0.737,0.0,0.263,Unhappy,12,2
1944,nice,5,1.0,0.0,0.0,Happy,4,1
1945,good,5,1.0,0.0,0.0,Happy,4,1
1946,nice product good qualiti price littl high,4,0.533,0.0,0.467,Unhappy,42,7
1947,shuttl ok,2,0.688,0.0,0.312,Unhappy,9,2
1948,disappoint  one shuttl proper rest swing,1,0.0,0.351,0.649,Unhappy,40,6
1949,ok,2,1.0,0.0,0.0,Unhappy,2,1
1950,good qualiti shutt,5,0.592,0.0,0.408,Happy,18,3
1951,bad,1,0.0,1.0,0.0,Unhappy,3,1
1952,origin,5,0.0,0.0,1.0,Happy,6,1
1953,nice,4,1.0,0.0,0.0,Unhappy,4,1
1954,nice super,5,1.0,0.0,0.0,Happy,10,2
1955,best qualiti product thank flipkart,5,0.691,0.0,0.309,Happy,35,5
1956,good,4,1.0,0.0,0.0,Unhappy,4,1
1957,origin,4,0.0,0.0,1.0,Unhappy,6,1
1958,last smash ,5,0.0,0.0,1.0,Happy,11,2
1959,nice,4,1.0,0.0,0.0,Unhappy,4,1
1960,poor product,2,0.0,0.756,0.244,Unhappy,12,2
1961,high price compar product  better buy similar product line lower price,4,0.206,0.156,0.638,Unhappy,70,11
1962,good qualiti,4,0.744,0.0,0.256,Unhappy,12,2
1963,genuin product,5,0.0,0.0,1.0,Happy,14,2
1964,awesom ,5,0.0,0.0,1.0,Happy,7,1
1965,fast deveri  thank flipkart,5,0.455,0.0,0.545,Happy,27,4
1966,supper,4,0.0,0.0,1.0,Unhappy,6,1
1967,good,5,1.0,0.0,0.0,Happy,4,1
1968,qualiti good  price high  excel qualiti reliabl,4,0.541,0.0,0.459,Unhappy,47,7
1969,good,4,1.0,0.0,0.0,Unhappy,4,1
1970,nice,4,1.0,0.0,0.0,Unhappy,4,1
1971,wow,5,1.0,0.0,0.0,Happy,3,1
1972,nice real shuttl yonex,5,0.483,0.0,0.517,Happy,22,4
1973,good,4,1.0,0.0,0.0,Unhappy,4,1
1974,reli tq flpcart,5,0.0,0.0,1.0,Happy,15,3
1975,origin,5,0.0,0.0,1.0,Happy,6,1
1976,got origin cheaper local market,5,0.0,0.0,1.0,Happy,31,5
1977,super qualiti product,5,0.661,0.0,0.339,Happy,21,3
1978,ok good product,5,0.836,0.0,0.164,Happy,15,3
1979,good,5,1.0,0.0,0.0,Happy,4,1
1980,excel,4,1.0,0.0,0.0,Unhappy,5,1
1981,sooper,5,0.0,0.0,1.0,Happy,6,1
1982,amaz offer genuin product,5,0.0,0.0,1.0,Happy,25,4
1983,better brand segment,5,0.592,0.0,0.408,Happy,20,3
1984,good qualiti thank flipkart,5,0.73,0.0,0.27,Happy,27,4
1985,super product love,4,0.89,0.0,0.11,Unhappy,18,3
1986,good item,5,0.744,0.0,0.256,Happy,9,2
1987,excellentma,5,0.0,0.0,1.0,Happy,11,1
1988,fastest ever deliveri ever reciev order yesterday receiv today thank flipkart genuin product,5,0.172,0.0,0.828,Happy,92,13
1989,shuttl give nice control,5,0.483,0.0,0.517,Happy,24,4
1990,nice product,5,0.737,0.0,0.263,Happy,12,2
1991,good,4,1.0,0.0,0.0,Unhappy,4,1
1992,nice,5,1.0,0.0,0.0,Happy,4,1
1993,good,5,1.0,0.0,0.0,Happy,4,1
1994,actual previous shuttl goodbut time bottom damag fast,5,0.0,0.0,1.0,Happy,53,8
1995,valu money,4,0.0,0.0,1.0,Unhappy,10,2
1996,awesom product,5,0.0,0.0,1.0,Happy,14,2
1997,good,5,1.0,0.0,0.0,Happy,4,1
1998,super,4,1.0,0.0,0.0,Unhappy,5,1
1999,good product reason price,5,0.492,0.0,0.508,Happy,25,4
2000,super,4,1.0,0.0,0.0,Unhappy,5,1
2001,cork bad qualiti,3,0.0,0.636,0.364,Unhappy,16,3
2002,excel purchas job perfect problem felt fli speed littl less compar  mavi  shuttl purchas side il,4,0.299,0.121,0.58,Unhappy,96,16
2003,look second qualiti,2,0.0,0.0,1.0,Unhappy,19,3
2004,nice shuttl,5,0.737,0.0,0.263,Happy,11,2
2005,good qualiti satisfi paid,5,0.492,0.0,0.508,Happy,25,4
2006,use product racquet broken fast,3,0.0,0.437,0.563,Unhappy,31,5
2007,good,4,1.0,0.0,0.0,Unhappy,4,1
2008,nice product,5,0.737,0.0,0.263,Happy,12,2
2009,reach time good,4,0.8,0.0,0.2,Unhappy,15,3
2010,averag,3,0.0,0.0,1.0,Unhappy,6,1
2011,good,3,1.0,0.0,0.0,Unhappy,4,1
2012,worth money nice product,5,0.701,0.0,0.299,Happy,24,4
2013,nice,5,1.0,0.0,0.0,Happy,4,1
2014,satisfi,5,0.0,0.0,1.0,Happy,7,1
2015,good product,5,0.744,0.0,0.256,Happy,12,2
2016,product lower qualiti compar previous lock  product,3,0.0,0.268,0.732,Unhappy,51,7
2017,awesom productbest qualiti,5,0.0,0.0,1.0,Happy,26,3
2018,deliv fast product high qualiti,5,0.0,0.0,1.0,Happy,31,5
2019,good one reciev,5,0.592,0.0,0.408,Happy,15,3
2020,good product price high,5,0.492,0.0,0.508,Happy,23,4
2021,worth price,5,0.655,0.0,0.345,Happy,11,2
2022,nice product,5,0.737,0.0,0.263,Happy,12,2
2023,super super nice,4,1.0,0.0,0.0,Unhappy,16,3
2024,product bit cost regular shuttl new sport clear idea whether last longer experi assur best qualiti get price point go whole box last month regular player,5,0.221,0.0,0.779,Happy,153,26
2025,nice durabl,5,0.737,0.0,0.263,Happy,11,2
2026,origin producti love,5,0.677,0.0,0.323,Happy,20,3
2027,good,5,1.0,0.0,0.0,Happy,4,1
2028,ok,3,1.0,0.0,0.0,Unhappy,2,1
2029,okay,3,1.0,0.0,0.0,Unhappy,4,1
2030,fantast,5,0.0,0.0,1.0,Happy,7,1
2031,good,3,1.0,0.0,0.0,Unhappy,4,1
2032,shttles good qualiti look authent local market shuttl much better durabl,3,0.392,0.0,0.608,Unhappy,72,11
2033,good,5,1.0,0.0,0.0,Happy,4,1
2034,origin product intermedi good,5,0.492,0.0,0.508,Happy,29,4
2035,super good play,5,1.0,0.0,0.0,Happy,15,3
2036,excellentorigin qualityfast deliveri even situationtq fkmlipcart,5,0.0,0.0,1.0,Happy,64,6
2037,worth,5,1.0,0.0,0.0,Happy,5,1
2038,good product,5,0.744,0.0,0.256,Happy,12,2
2039,nice durabl,5,0.737,0.0,0.263,Happy,11,2
2040,good qualiti,5,0.744,0.0,0.256,Happy,12,2
2041,good,5,1.0,0.0,0.0,Happy,4,1
2042,gud shuttl ,5,0.0,0.0,1.0,Happy,11,2
2043,good qualiti,5,0.744,0.0,0.256,Happy,12,2
2044,pandem time product yonex mavi  easi find sport store  demand  singl piec pleas buy product got  price qualiti good go,5,0.129,0.067,0.804,Happy,118,20
2045,great product ,4,0.804,0.0,0.196,Unhappy,14,2
2046,thank flipcart,5,0.714,0.0,0.286,Happy,14,2
2047,good,5,1.0,0.0,0.0,Happy,4,1
2048,valu money,5,0.0,0.0,1.0,Happy,10,2
2049,good qualti,4,0.744,0.0,0.256,Unhappy,11,2
2050,good,4,1.0,0.0,0.0,Unhappy,4,1
2051,good,5,1.0,0.0,0.0,Happy,4,1
2052,awesom,5,0.0,0.0,1.0,Happy,6,1
2053,origin product yonex,5,0.0,0.0,1.0,Happy,20,3
2054,good,4,1.0,0.0,0.0,Unhappy,4,1
2055,nice qualiti brilliant good condit,5,0.826,0.0,0.174,Happy,34,5
2056,good,5,1.0,0.0,0.0,Happy,4,1
2057,good product,5,0.744,0.0,0.256,Happy,12,2
2058,nice product,5,0.737,0.0,0.263,Happy,12,2
2059,wow,5,1.0,0.0,0.0,Happy,3,1
2060,good deliveri servic product also awesom,4,0.367,0.0,0.633,Unhappy,40,6
2061,nice,5,1.0,0.0,0.0,Happy,4,1
2062,best,5,1.0,0.0,0.0,Happy,4,1
2063,good product,4,0.744,0.0,0.256,Unhappy,12,2
2064, shuttl good two wast money,3,0.42,0.0,0.58,Unhappy,27,5
2065,yah bad better shuttl player r beginn extraordinari player,3,0.234,0.282,0.484,Unhappy,58,9
2066,check code yonex sunris indiafound product genuin quick  decent deliveri servic,5,0.0,0.0,1.0,Happy,79,11
2067,nice shuttl mavi  good shuttl littl cost problem  better mavi worthi,5,0.47,0.148,0.383,Happy,68,11
2068,good,4,1.0,0.0,0.0,Unhappy,4,1
2069,good,5,1.0,0.0,0.0,Happy,4,1
2070,product good price worthi,4,0.492,0.0,0.508,Unhappy,25,4
2071,good profession product,5,0.592,0.0,0.408,Happy,23,3
2072,good,5,1.0,0.0,0.0,Happy,4,1
2073,nice,5,1.0,0.0,0.0,Happy,4,1
2074,super shuttl,5,0.796,0.0,0.204,Happy,12,2
2075,good qualiti like purchas sport center,5,0.574,0.0,0.426,Happy,38,6
2076,jst awesom,5,0.0,0.0,1.0,Happy,10,2
2077,supper,4,0.0,0.0,1.0,Unhappy,6,1
2078,super product,5,0.796,0.0,0.204,Happy,13,2
2079,nice product,4,0.737,0.0,0.263,Unhappy,12,2
2080,super durabl shot,5,0.661,0.0,0.339,Happy,17,3
2081,good product,5,0.744,0.0,0.256,Happy,12,2
2082,good product,5,0.744,0.0,0.256,Happy,12,2
2083,soon broken,5,0.0,0.756,0.244,Happy,11,2
2084,get time,1,0.0,0.0,1.0,Unhappy,8,2
2085,fast deliveri corona pandem someth unbeliev,5,0.0,0.0,1.0,Happy,43,6
2086,good,4,1.0,0.0,0.0,Unhappy,4,1
2087,product good,5,0.744,0.0,0.256,Happy,12,2
2088,good,4,1.0,0.0,0.0,Unhappy,4,1
2089,good origin yonex shuttl,5,0.492,0.0,0.508,Happy,24,4
2090,good,5,1.0,0.0,0.0,Happy,4,1
2091,nice product fast deliveri,5,0.483,0.0,0.517,Happy,26,4
2092,nic,4,0.0,0.0,1.0,Unhappy,3,1
2093,good one,5,0.744,0.0,0.256,Happy,8,2
2094,super,5,1.0,0.0,0.0,Happy,5,1
2095,nice,4,1.0,0.0,0.0,Unhappy,4,1
2096,best nylon shuttl outdoor indoor,5,0.512,0.0,0.488,Happy,32,5
2097,normal item qualiti,3,0.0,0.0,1.0,Unhappy,19,3
2098,good product,4,0.744,0.0,0.256,Unhappy,12,2
2099,perfect  usag oneworth purchas ,5,0.552,0.0,0.448,Happy,31,4
2100,good,5,1.0,0.0,0.0,Happy,4,1
2101,nice durabl,4,0.737,0.0,0.263,Unhappy,11,2
2102,worth product valu money,5,0.388,0.0,0.612,Happy,24,4
2103,qualiti good,5,0.744,0.0,0.256,Happy,12,2
2104,perfect pure qualiti,5,0.649,0.0,0.351,Happy,20,3
2105,go,5,0.0,0.0,1.0,Happy,2,1
2106,nice pack go valu money  thnks flipkart,5,0.318,0.0,0.682,Happy,39,7
2107,fast deliveri best qualiti,1,0.583,0.0,0.417,Unhappy,26,4
2108,thank flipkart qualiti product standard deliveri,5,0.333,0.0,0.667,Happy,48,6
2109,qualiti miss anywher,5,0.0,0.444,0.556,Happy,20,3
2110,good product,5,0.744,0.0,0.256,Happy,12,2
2111,thisbi good product price much price ,5,0.367,0.0,0.633,Happy,37,6
2112,classic chumma chisel,5,0.0,0.0,1.0,Happy,21,3
2113,excel product,5,0.75,0.0,0.25,Happy,13,2
2114,good product,5,0.744,0.0,0.256,Happy,12,2
2115,nice,5,1.0,0.0,0.0,Happy,4,1
2116,qualiti good,5,0.744,0.0,0.256,Happy,12,2
2117,good,4,1.0,0.0,0.0,Unhappy,4,1
2118,product bad qualiti good expect earlier bought product use shuttl week product sure got damag day pleas check need soon possibl,1,0.195,0.131,0.674,Unhappy,127,21
2119,good,3,1.0,0.0,0.0,Unhappy,4,1
2120,qualiti product good cork broken within one hour,3,0.242,0.258,0.5,Unhappy,48,8
2121,good,5,1.0,0.0,0.0,Happy,4,1
2122,good,5,1.0,0.0,0.0,Happy,4,1
2123,nice,5,1.0,0.0,0.0,Happy,4,1
2124,nice,5,1.0,0.0,0.0,Happy,4,1
2125,shuttlecock compet one term flight durabl exact well balanc,5,0.208,0.0,0.792,Happy,59,9
2126,good product,5,0.744,0.0,0.256,Happy,12,2
2127,first  yonex best compani  badminton shuttl better yonex ,5,0.542,0.0,0.458,Happy,57,8
2128,good,3,1.0,0.0,0.0,Unhappy,4,1
2129,good productthank flipkart,5,0.592,0.0,0.408,Happy,26,3
2130,unbeat,4,0.0,0.0,1.0,Unhappy,6,1
2131,time deliveri satisfi,4,0.0,0.0,1.0,Unhappy,21,3
2132,nice,5,1.0,0.0,0.0,Happy,4,1
2133,price would around  better,4,0.492,0.0,0.508,Unhappy,26,4
2134,nice,3,1.0,0.0,0.0,Unhappy,4,1
2135,satisfi,5,0.0,0.0,1.0,Happy,7,1
2136,ok fine,5,1.0,0.0,0.0,Happy,7,2
2137,good term durabl,3,0.592,0.0,0.408,Unhappy,16,3
2138,good qualiti,5,0.744,0.0,0.256,Happy,12,2
2139,nice shuttl play  game far without babi damag shuttl last anoth  game,5,0.342,0.0,0.658,Happy,69,12
2140,nice product,5,0.737,0.0,0.263,Happy,12,2
2141,well satisfiedi great flipkarthop futur order also deliv right goodsthanku,5,0.437,0.0,0.563,Happy,74,10
2142,good qualiti,5,0.744,0.0,0.256,Happy,12,2
2143,good,5,1.0,0.0,0.0,Happy,4,1
2144,origin product go wast money feel free buy ,5,0.32,0.0,0.68,Happy,43,8
2145,super,4,1.0,0.0,0.0,Unhappy,5,1
2146,best see,5,0.808,0.0,0.192,Happy,8,2
2147, shuttl miss,1,0.0,0.615,0.385,Unhappy,12,2
2148,nice product,5,0.737,0.0,0.263,Happy,12,2
2149,good product,5,0.744,0.0,0.256,Happy,12,2
2150,qualiti  excel,5,0.75,0.0,0.25,Happy,14,2
2151,perfect,5,1.0,0.0,0.0,Happy,7,1
2152,nyc product,5,0.0,0.0,1.0,Happy,11,2
2153,noth much tellalway best product badminton ,1,0.457,0.0,0.543,Unhappy,43,6
2154,good,5,1.0,0.0,0.0,Happy,4,1
2155,product good qualiti,5,0.592,0.0,0.408,Happy,20,3
2156,nice product,5,0.737,0.0,0.263,Happy,12,2
2157,qualiti shuttl upto mark also start deterior  match,3,0.0,0.0,1.0,Unhappy,51,8
2158,awesom,5,0.0,0.0,1.0,Happy,6,1
2159,good,5,1.0,0.0,0.0,Happy,4,1
2160,org,4,0.0,0.0,1.0,Unhappy,3,1
2161,nice,4,1.0,0.0,0.0,Unhappy,4,1
2162,happi good product yonex mavi  nylon shuttl,5,0.326,0.0,0.674,Happy,43,7
2163,cool,5,1.0,0.0,0.0,Happy,4,1
2164,great,5,1.0,0.0,0.0,Happy,5,1
2165,satisfi,5,0.0,0.0,1.0,Happy,7,1
2166,nice,5,1.0,0.0,0.0,Happy,4,1
2167,good shuttl defens play better intermedi playersbeginn mavi  best,5,0.713,0.0,0.287,Happy,65,9
2168,nice,5,1.0,0.0,0.0,Happy,4,1
2169,although genuin product durabl less,4,0.0,0.0,1.0,Unhappy,35,5
2170,nice product durabl,5,0.583,0.0,0.417,Happy,19,3
2171,nice product deliveri delay,5,0.394,0.324,0.282,Happy,27,4
2172,genuin product ,5,0.0,0.0,1.0,Happy,15,2
2173,wast product suggest peopl bay flipkart,1,0.0,0.0,1.0,Unhappy,39,6
2174,use product,1,0.0,0.0,1.0,Unhappy,11,2
2175,durabl good expect usual last ,3,0.42,0.0,0.58,Unhappy,30,5
2176,good best product,5,0.877,0.0,0.123,Happy,17,3
2177,good,5,1.0,0.0,0.0,Happy,4,1
2178,worst experi purchas,1,0.0,0.672,0.328,Unhappy,20,3
2179,good,3,1.0,0.0,0.0,Unhappy,4,1
2180,long last,4,0.0,0.0,1.0,Unhappy,9,2
2181,super,5,1.0,0.0,0.0,Happy,5,1
2182,good qualiti,5,0.744,0.0,0.256,Happy,12,2
2183,supper,5,0.0,0.0,1.0,Happy,6,1
2184,nice product,5,0.737,0.0,0.263,Happy,12,2
2185,awesom,5,0.0,0.0,1.0,Happy,6,1
2186,good product price higher side,5,0.42,0.0,0.58,Happy,30,5
2187,good,5,1.0,0.0,0.0,Happy,4,1
2188,good one problem    day,5,0.382,0.355,0.263,Happy,23,4
2189,nice qualiti,5,0.737,0.0,0.263,Happy,12,2
2190,super,5,1.0,0.0,0.0,Happy,5,1
2191,best durabl littl slow similar flight feather shuttl tournament grade,5,0.318,0.0,0.682,Happy,69,10
2192,usual  awesom best among shuttl brand,5,0.457,0.0,0.543,Happy,37,6
2193,supperb,5,0.0,0.0,1.0,Happy,7,1
2194,excel product,5,0.75,0.0,0.25,Happy,13,2
2195,nice,5,1.0,0.0,0.0,Happy,4,1
2196,awsm,5,0.0,0.0,1.0,Happy,4,1
2197,nice,5,1.0,0.0,0.0,Happy,4,1
2198,great qualiti,4,0.804,0.0,0.196,Unhappy,13,2
2199,good,4,1.0,0.0,0.0,Unhappy,4,1
2200,nice productsaf deliveri,5,0.583,0.0,0.417,Happy,24,3
2201,excel product,5,0.75,0.0,0.25,Happy,13,2
2202,good,5,1.0,0.0,0.0,Happy,4,1
2203,good,4,1.0,0.0,0.0,Unhappy,4,1
2204,ok,3,1.0,0.0,0.0,Unhappy,2,1
2205,nice one,4,0.737,0.0,0.263,Unhappy,8,2
2206,qualiti good,3,0.744,0.0,0.256,Unhappy,12,2
2207,origin product got happi deliveri,5,0.0,0.0,1.0,Happy,33,5
2208,good  servic also nice ,5,0.74,0.0,0.26,Happy,23,4
2209,general base broke shuttl,3,0.0,0.483,0.517,Unhappy,25,4
2210,good,5,1.0,0.0,0.0,Happy,4,1
2211,origin shuttl great experi,5,0.577,0.0,0.423,Happy,26,4
2212,item good qualiti,3,0.592,0.0,0.408,Unhappy,17,3
2213,good,5,1.0,0.0,0.0,Happy,4,1
2214,good one,5,0.744,0.0,0.256,Happy,8,2
2215,nice ,4,1.0,0.0,0.0,Unhappy,5,1
2216,good,5,1.0,0.0,0.0,Happy,4,1
2217,fine,5,1.0,0.0,0.0,Happy,4,1
2218,excel,5,1.0,0.0,0.0,Happy,5,1
2219,excel,5,1.0,0.0,0.0,Happy,5,1
2220,origin product good qualiti,5,0.492,0.0,0.508,Happy,27,4
2221,shuttl good play normal last week sinc most smash usual serious play last  day would say go,3,0.346,0.07,0.584,Unhappy,91,17
2222,nice servic fast deliveri appropri item like line store,5,0.431,0.0,0.569,Happy,55,9
2223,good ,5,1.0,0.0,0.0,Happy,5,1
2224,insid shuttl local brand abysm qualiti,1,0.0,0.0,1.0,Unhappy,38,6
2225,good,4,1.0,0.0,0.0,Unhappy,4,1
2226,must buy,5,0.0,0.0,1.0,Happy,8,2
2227,thank nice,5,1.0,0.0,0.0,Happy,10,2
2228,super,5,1.0,0.0,0.0,Happy,5,1
2229,best shuttlecock play indoor well use outdoor game,4,0.635,0.0,0.365,Unhappy,50,8
2230,good product,5,0.744,0.0,0.256,Happy,12,2
2231,good,4,1.0,0.0,0.0,Unhappy,4,1
2232,good product,5,0.744,0.0,0.256,Happy,12,2
2233,best qualiti,5,0.808,0.0,0.192,Happy,12,2
2234,great deal,5,0.804,0.0,0.196,Happy,10,2
2235,got genuin yonex product,5,0.0,0.0,1.0,Happy,24,4
2236,good qualiti expect,5,0.592,0.0,0.408,Happy,19,3
2237,good,5,1.0,0.0,0.0,Happy,4,1
2238,nice product advanc deliveri,5,0.483,0.0,0.517,Happy,28,4
2239,super,5,1.0,0.0,0.0,Happy,5,1
2240,super,4,1.0,0.0,0.0,Unhappy,5,1
2241,good qualiti,5,0.744,0.0,0.256,Happy,12,2
2242,super shuttleveri strong slow,5,0.783,0.0,0.217,Happy,29,4
2243,good,4,1.0,0.0,0.0,Unhappy,4,1
2244,love,5,1.0,0.0,0.0,Happy,4,1
2245,nice,5,1.0,0.0,0.0,Happy,4,1
2246,grt  butpric increas day day ,5,0.0,0.0,1.0,Happy,29,5
2247,excel product worth money,5,0.71,0.0,0.29,Happy,25,4
2248,go good qualiti,5,0.592,0.0,0.408,Happy,15,3
2249,good qualiti ,5,0.744,0.0,0.256,Happy,13,2
2250,good qualiti,5,0.744,0.0,0.256,Happy,12,2
2251,good bt price somewhat market price,5,0.367,0.0,0.633,Happy,35,6
2252,nice,5,1.0,0.0,0.0,Happy,4,1
2253,good ,5,1.0,0.0,0.0,Happy,5,1
2254,nice one,5,0.737,0.0,0.263,Happy,8,2
2255,super product plastic seal broken,5,0.39,0.31,0.3,Happy,33,5
2256,good qualiti product price increas littl bit,5,0.326,0.0,0.674,Happy,44,7
2257,great qualiti,5,0.804,0.0,0.196,Happy,13,2
2258,yonex  coack good badminton,5,0.492,0.0,0.508,Happy,27,4
2259,good,5,1.0,0.0,0.0,Happy,4,1
2260,mavi   good product,5,0.592,0.0,0.408,Happy,19,3
2261,nice,5,1.0,0.0,0.0,Happy,4,1
2262,lil bit cost durabl,4,0.0,0.0,1.0,Unhappy,19,4
2263,good,5,1.0,0.0,0.0,Happy,4,1
2264, shuttl damag otherwis okay,3,0.388,0.0,0.612,Unhappy,27,4
2265,power,1,0.0,0.0,1.0,Unhappy,5,1
2266,best shuttl,5,0.808,0.0,0.192,Happy,11,2
2267,avarag,5,0.0,0.0,1.0,Happy,6,1
2268,best product,5,0.808,0.0,0.192,Happy,12,2
2269,nice one,5,0.737,0.0,0.263,Happy,8,2
2270,superbbbbb,5,0.0,0.0,1.0,Happy,10,1
2271,good,4,1.0,0.0,0.0,Unhappy,4,1
2272,soo bad,2,0.0,0.778,0.222,Unhappy,7,2
2273,good,5,1.0,0.0,0.0,Happy,4,1
2274,origin awesom,5,0.0,0.0,1.0,Happy,13,2
2275,nice product,4,0.737,0.0,0.263,Unhappy,12,2
2276,good,5,1.0,0.0,0.0,Happy,4,1
